division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_all,unmet_need_for_modern_methods,unmet_need_for_any_method,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
218,1999.246582,1999.745239,N,15-49,Other,UW,0.0747385,0.016728656,,0.016728656,,N,,N,,N,,None,None,N,,N,,,,,,,7,N_1
498,1997.665771,1997.745239,N,15-49,Other,UW,0.1073175,0.026436285,,0.026436285,,N,,N,,N,,?,None,N,,N,,,,,,,24,N_2
600,1998.704102,1998.912354,N,15-49,Other,UW,0.1200000,0.035,,,0.017,N,,N,,N,,?,None,Y,,N,,,,,,,30,N_3
694,2005.747925,2005.912354,N,15-49,MICS,UW,0.1650825,0.010340866,,0.010340866,,N,,N,,N,,None,None,N,,Y,0.008258959,0.001443013,0,0.075839556,0.241704896,,41,N_4
516,2006.832886,2007.243896,N,15-49,DHS,UW,0.4140827,0.005739004,,,0.079574902,N,,N,,N,,None,None,N,,N,0.010971158,0.00110468,0.004609904,0.045112647,0.19200422,0.061529884,43,N_5
222,2002.832886,2003.493164,N,15-49,Other,UW,0.1762216,0.016634942,,0.016634942,,N,,N,,N,,?,None,N,,N,,,,,,,48,N_6
214,2007.161621,2007.660278,N,15-49,DHS,UW,0.2821808,0.010463978,,,0.053898039,N,,N,,N,,None,None,N,,N,0.007342316,0.001539686,0.003468757,0.03597341,0.147333834,0.069305781,49,N_7
604,1981,1982,N,15-49,Other,UW,,,0.019183917,,,N,,N,,N,,None,None,N,,N,,,,,,,52,N_8
268,1999.832886,2000.246582,N,15-49,Other,UW,0.0053258,0,,0,,N,,N,,N,,?,None,N,,N,,,,,,,107,N_9
52,1980,1982,N,15-49,Other,UW,0.1012960,0.002704,,0.002704,,N,,N,,N,,None,None,N,,N,,,,,,,108,N_10
854,2006.238403,2006.449341,N,15-49,MICS,UW,0.1196556,0.010957997,,0.010957997,,N,,N,,N,,None,None,N,,Y,0.009906308,0.002784202,0,0.118066186,0.389613896,,136,N_11
218,1994.49585,1994.619141,N,15-49,Other,UW,0.0471621,0.009816727,,0.009816727,,N,,N,,N,,None,None,N,,N,,,,,,,143,N_12
108,2005.715088,2005.997314,N,15-49,MICS,UW,0.0085162,6.91E-04,,6.91E-04,,N,,N,,N,,None,None,N,,Y,0.001687917,4.36E-04,0,0.203587105,0.631737572,,148,N_13
132,1998.161621,1998.662964,N,15-49,Other,UW,0.1925221,0.013870957,,0.013870957,,N,,N,,N,,None,None,N,,N,,,,,,,155,N_14
340,1987.432861,1987.884888,N,15-49,Other,UW,0.0504004,0.003563758,,0.003563758,,N,,N,,N,,?,None,N,,N,,,,,,,157,N_15
222,1993.161621,1993.534302,N,15-49,Other,UW,0.1215652,0.005981366,,0.005981366,,N,,N,,N,,?,None,N,,N,,,,,,,162,N_16
288,2006.580811,2006.830078,N,15-49,MICS,UW,0.0824520,0.015740703,,0.015740703,,N,,N,,N,,None,None,N,,Y,0.006378504,0.00347455,0,0.08510098,0.225484604,,166,N_17
804,2007.49585,2007.912354,N,15-49,DHS,UW,0.2433251,0.027791902,,,0.016916013,N,,N,,N,,None,None,N,,N,0.013355737,0.003622766,0.003436817,0.073153481,0.135725811,0.208186934,170,N_18
116,1998.328735,1998.578125,N,15-49,National survey,UW,0.0020090,3.11E-04,,3.11E-04,,N,,N,,N,,None,None,Y,,N,,,,,,,172,N_19
320,2002.246582,2002.912354,N,15-49,Other,UW,0.0481089,0.005225605,,0.005225605,,N,,N,,N,,None,None,Y,,N,,,,,,,173,N_20
764,2005.915039,2006.158936,N,15-49,MICS,UW,0.0270139,1.43E-04,,1.43E-04,,N,,N,,N,,None,None,N,,Y,0.002407465,8.05E-05,0,0.091610529,0.564156104,,175,N_21
624,2006.358887,2006.443848,N,15-49,MICS,UW,0.2714375,0.024647076,,0.024647076,,N,,N,,N,,None,None,N,,Y,0.013906719,0.003691276,0,0.072848316,0.162315276,,176,N_22
340,1996,1996.747925,N,15-49,Other,UW,0.0910000,0.003,,0.003,,N,,N,,N,,?,None,N,,N,,,,,,,199,N_23
320,1998.832886,1999.411011,N,15-49,DHS,UW,0.0416547,6.17E-04,,,0.023421042,N,,N,,N,,None,None,N,,N,0.008552952,3.85E-04,0.004153042,0.214259518,0.624153641,0.182613623,207,N_24
340,2001.084961,2001.745239,N,15-49,Other,UW,0.1209444,0.009635036,,,0.05069403,N,,N,,N,,?,None,N,,N,,,,,,,640,N_25
894,2007.246582,2007.830078,N,15-49,DHS,UW,0.1156071,0.009298685,,,0.103887596,N,,N,,N,,None,None,N,,N,,,,,,,645,N_26
430,2006.915039,2007.32605,N,15-49,DHS,UW,0.1431860,0.022810166,,,0.257093381,N,,N,,N,,None,None,N,,N,0.011958092,0.003622204,0.01106336,0.099360134,0.168383884,0.057964569,647,N_27
600,2004.164429,2004.580811,N,15-49,Other,UW,0.2116094,0.041963003,,,0.056118607,N,,N,,N,,?,None,N,,N,,,,,,,649,N_28
417,2005.96167,2006.090454,N,15-49,MICS,UW,0.0577935,0.00103766,,0.00103766,,N,,N,,N,,None,None,N,,Y,0.006538765,7.37E-04,0,0.137317529,0.712429448,,652,N_29
112,2005.832886,2005.997314,N,15-49,MICS,UW,0.2373162,0.021968972,,0.021968972,,N,,N,,N,,None,None,N,,Y,0.014425686,0.004287998,0,0.083780392,0.210282015,,666,N_30
218,2004.164429,2004.413696,N,15-49,Other,UW,0.1232232,0.02047041,,0.02047041,,N,,N,,N,,None,None,N,,N,,,,,,,667,N_31
768,2006.353394,2006.476685,N,15-49,MICS,UW,0.2294051,0.031767036,,0.031767036,,N,,N,,N,,None,None,N,,Y,0.014359792,0.005746577,0,0.085608862,0.194882323,,669,N_32
598,1996.479492,1997.588989,N,15-49,National survey,UW,0.0190765,0.015083208,,0.015083208,,N,,N,,N,,None,None,N,,N,,,,,,,670,N_33
222,1978.49585,1978.953369,N,15-49,Other,UW,,,0.043751861,,,N,,N,,N,,?,None,N,,N,,,,,,,673,N_34
496,1998,1999,N,15-49,National survey,UW,0.0988021,0.042985948,,0.042985948,,N,,N,,N,,None,None,N,,N,,,,,,,675,N_35
218,1989.547974,1989.747925,N,15-49,Other,UW,0.0450697,0.011519309,,0.011519309,,N,,N,,N,,None,None,N,,N,,,,,,,676,N_36
496,2003,2004,N,15-49,National survey,UW,0.1731223,0.030650051,,0.030650051,,N,,N,,N,,None,None,N,,N,,,,,,,677,N_37
804,1999.413696,1999.830078,N,15-49,Other,UW,0.1810000,0.066,,0.066,,N,,N,,N,,?,None,N,,N,,,,,,,684,N_38
204,2006.580811,2006.912354,N,15-49,DHS,UW,0.0898783,0.086993391,,,0.060033,N,,N,,N,,None,None,N,,N,0.003627094,0.003588537,0.002694132,0.064344585,0.064320663,0.074726886,694,N_39
340,1991,1993,N,15-49,Other,UW,0.0626846,0.006721214,,0.006721214,,N,,N,,N,,?,None,N,,N,,,,,,,707,N_40
268,2005.161621,2005.662964,N,15-49,Other,UW,0.0096961,1.71E-04,,1.71E-04,,N,,N,,N,,?,None,N,,N,,,,,,,715,N_41
860,2006.161621,2006.367065,N,15-49,MICS,UW,0.0202119,0.002614761,,0.002614761,,N,,N,,N,,None,None,N,,Y,0.002951383,8.09E-04,0,0.149096785,0.310530826,,721,N_42
762,2005.665771,2005.830078,N,15-49,MICS,UW,0.0097685,0.002038143,,0.002038143,,N,,N,,N,,None,None,N,,Y,0.002166748,9.59E-04,0,0.22398086,0.471613869,,724,N_43
862,1998,1999,N,15-49,National survey,UW,0.1400705,0.014331651,,0.014331651,,N,,N,,N,,None,None,N,,N,,,,,,,738,N_44
360,2007.413696,2008.161621,N,15-49,Other,FM,0.0067100,5.00E-05,,5.00E-05,,N,,N,,N,,None,None,Y,,N,0.007549692,3.25E-04,0,0.192727448,1.001122102,,739,N_45
222,1998.246582,1998.912354,N,15-49,Other,UW,0.1330656,0.005294451,,0.005294451,,N,,N,,N,,?,None,N,,N,,,,,,,746,N_46
818,2003.328735,2003.493164,N,15-49,Other,FM,0.0011500,,0.00115,,,N,,N,,N,,None,-,N,,N,0.001349238,0,0,0.460766089,,,778,N_47
84,1991.03833,1991.134277,N,15-49,Other,UW,0.1095981,0.00559279,,0.00559279,,N,,N,,N,,?,None,N,,N,,,,,,,779,N_48
600,1995.747925,1996.161621,N,15-49,Other,UW,0.1098483,0.051917509,,,0.043275862,N,,N,,N,,None,None,Y,,N,,,,,,,782,N_49
388,1989,1990,N,15-49,Other,UW,0.1595304,0.009837672,,0.009837672,,N,,N,,N,,None,None,N,,N,,,,,,,809,N_50
222,1988.334229,1988.561646,N,15-49,Other,UW,0.1270130,0.001598619,,0.001598619,,N,,N,,N,,?,None,N,,N,,,,,,,820,N_51
800,2004.583618,2005.082153,N,15-49,DHS,UW,0.1010327,0.006977393,,0.006977393,,N,,N,,N,,None,None,Y,,N,,,,,,,830,N_52
834,1999.665771,1999.912354,N,15-49,DHS,UW,0.1344331,0.02932611,,,0.113738153,N,,N,,N,,None,None,N,,N,0.015576046,0.005756116,0.011539813,0.137115724,0.210576681,0.108029842,831,N_53
496,2005.832886,2005.997314,N,15-49,MICS,UW,0.1867616,0.011740929,,0.011740929,,N,,N,,N,,None,None,N,,Y,0.008254901,0.001974139,0,0.054296519,0.169833674,,832,N_54
398,1999.49585,1999.745239,N,15-49,DHS,UW,0.1477208,0.025365761,,,0.029503031,N,,N,,N,,None,None,N,,N,0.010127292,0.004132959,0.004342857,0.082256318,0.17011764,0.173484319,1669,N_55
31,2001.246582,2001.578125,N,15-49,Other,UW,0.0021483,0.001074148,,0.001074148,,N,,N,,N,,?,None,N,,N,,,,,,,1670,N_56
214,1991.49585,1991.912354,N,15-49,DHS,UW,0.1141090,0.007504439,,,0.018703867,N,,N,,N,,None,None,N,,N,0.007049652,0.002462368,0.002998621,0.069475673,0.328180369,0.165805637,1671,N_57
222,1985.328735,1985.578125,N,15-49,DHS,UW,0.0893681,0.001448137,,0.001448137,,N,,N,,N,,None,None,N,,N,,,,,,,1672,N_58
120,1998.084961,1998.493164,N,15-49,DHS,UW,0.0985751,0.235078127,,,0.078611234,N,,N,,N,,None,None,N,,N,0.007107224,0.013199688,0.007103332,0.095475539,0.083349424,0.101556478,1674,N_59
148,1996.917847,1997.578125,N,15-49,DHS,UW,0.0146903,0.016029568,,,0.044350022,N,,N,,N,,None,None,N,,N,0.002604901,0.002732359,0.005395912,0.181619366,0.173745355,0.127905115,1675,N_60
426,2001.361694,2001.493164,N,15-49,National survey,UW,0.1638097,0.008801618,,0.008801618,,N,,N,,N,,?,None,N,,N,,,,,,,1676,N_61
834,1994.49585,1994.745239,N,15-49,DHS,UW,0.0788654,0.042040847,,0.042040847,,N,,N,,N,,None,None,N,,N,,,,,,,1677,N_62
834,1991.747925,1992.246582,N,15-49,DHS,UW,0.0465305,0.029789655,,0.029789655,,N,,N,,N,,None,None,N,,N,0.005371143,0.003585565,0.003714748,0.127534969,0.132450881,0.095055937,1678,N_63
834,1996.498657,1996.915039,N,15-49,DHS,UW,0.0862175,0.027106323,,,0.13024434,N,,N,,N,,None,None,N,,N,0.006411596,0.002775931,0.007435088,0.102248885,0.117526954,0.071902719,1679,N_64
562,1998.161621,1998.578125,N,15-49,DHS,UW,0.0338304,0.009820183,,,0.031742916,N,,N,,N,,None,None,N,,N,0.003915697,0.001545554,0.006414802,0.162230876,0.267627258,0.233418643,1680,N_65
8,2002.580811,2002.997314,N,15-49,Other,UW,0.0108637,0.033491917,,0.033491917,,N,,N,,N,,?,None,N,,N,,,,,,,1681,N_66
466,2006.328735,2006.997314,N,15-49,DHS,UW,0.0261983,0.005503812,,0.005503812,,N,,N,,N,,None,None,N,,N,0.002562297,0.001011375,0.00272415,0.17288501,0.363864496,0.159697185,1682,N_67
218,1987,1987.243896,N,15-49,DHS,UW,0.0279043,0.004555809,,0.004555809,,N,,N,,N,,None,None,N,,N,,,,,,,1683,N_68
214,1999.580811,1999.997314,N,15-49,DHS,UW,0.2142925,0.005783197,,,0.034325995,N,,N,,N,,None,None,N,,N,0.020644076,0.00353214,0.008904867,0.123080163,0.616975036,0.275780859,1684,N_69
214,1996.668457,1997,N,15-49,DHS,UW,0.1539190,0.01586192,,,0.034781714,N,,N,,N,,None,None,N,,N,0.007139306,0.002759559,0.003756635,0.057399267,0.180950625,0.11871589,1685,N_70
600,1990.328735,1990.662964,N,15-49,DHS,UW,0.0527347,0.026022659,,,0.012202671,N,,N,,N,,None,None,N,,N,0.005192349,0.003626214,0.00273528,0.103860635,0.142949108,0.226908875,1686,N_71
360,1991.328735,1991.578125,N,15-49,Other,FM,0.0035200,,0.00352,,,N,,N,,N,,None,-,N,,N,0.00101247,0,0,0.245301902,,,1687,N_72
360,1994.49585,1994.912354,N,15-49,Other,FM,0.0025100,,0.00251,,,N,,N,,N,,None,-,N,,N,0.001266156,0,0,0.263300054,,,1688,N_73
360,2002.747925,2003.32605,N,15-49,Other,FM,0.0066700,2.00E-05,,2.00E-05,,N,,N,,N,,None,None,Y,,N,0.002119486,8.06E-06,0,0.199942151,1.000684563,,1689,N_74
360,1997.665771,1997.997314,N,15-49,Other,FM,0.0024500,,0.00245,,,N,,N,,N,,None,-,N,,N,0.001563154,0,0,0.272017698,,,1690,N_75
404,2003.246582,2003.745239,N,15-49,DHS,UW,0.0947999,0.024209408,,,0.07539507,N,,N,,N,,None,None,N,,N,0.003656453,0.001171727,0.002503001,0.081657859,0.119988721,0.07640541,1692,N_76
231,2000.084961,2000.413696,N,15-49,DHS,UW,0.0180105,0.003293362,,,0.038119894,N,,N,,N,,None,None,N,,N,0.002763003,6.35E-04,0.003935773,0.156252862,0.193435758,0.107574723,1694,N_77
748,2006.49585,2007.158936,N,15-49,DHS,UW,0.2828019,0.00596489,,,0.107614304,N,,N,,N,,None,None,N,,N,0.010948855,0.001541847,0.006807619,0.054261128,0.261874213,0.07276604,1695,N_78
